"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","GRADRATETRY","TRY","PC","A","2017",40.787,
"PRT","GRADRATETRY","TRY","PC","A","2018",43.363,
"SVK","GRADRATETRY","TRY","PC","A","2005",,"M"
"SVK","GRADRATETRY","TRY","PC","A","2010",,"M"
"SVK","GRADRATETRY","TRY","PC","A","2011",,"M"
"SVK","GRADRATETRY","TRY","PC","A","2012",,"M"
"SVK","GRADRATETRY","TRY","PC","A","2013",,"M"
"SVK","GRADRATETRY","TRY","PC","A","2014",0.98,
"SVK","GRADRATETRY","TRY","PC","A","2015",0.947,
"SVK","GRADRATETRY","TRY","PC","A","2016",32.729,
"SVK","GRADRATETRY","TRY","PC","A","2017",30.72,
"SVK","GRADRATETRY","TRY","PC","A","2018",29.606,
"ESP","GRADRATETRY","TRY","PC","A","2005",,"M"
"ESP","GRADRATETRY","TRY","PC","A","2010",,"M"
"ESP","GRADRATETRY","TRY","PC","A","2011",,"M"
"ESP","GRADRATETRY","TRY","PC","A","2012",,"M"
"ESP","GRADRATETRY","TRY","PC","A","2013",,"M"
"ESP","GRADRATETRY","TRY","PC","A","2014",,"M"
"ESP","GRADRATETRY","TRY","PC","A","2015",,"M"
"ESP","GRADRATETRY","TRY","PC","A","2016",49.794,
"ESP","GRADRATETRY","TRY","PC","A","2017",49.917,
"ESP","GRADRATETRY","TRY","PC","A","2018",52.007,
"SWE","GRADRATETRY","TRY","PC","A","2005",,"M"
"SWE","GRADRATETRY","TRY","PC","A","2010",,"M"
"SWE","GRADRATETRY","TRY","PC","A","2011",,"M"
"SWE","GRADRATETRY","TRY","PC","A","2012",,"M"
"SWE","GRADRATETRY","TRY","PC","A","2013",26.031,
"SWE","GRADRATETRY","TRY","PC","A","2014",26.517,
"SWE","GRADRATETRY","TRY","PC","A","2015",25.571,
"SWE","GRADRATETRY","TRY","PC","A","2016",25.762,
"SWE","GRADRATETRY","TRY","PC","A","2017",24.442,
"SWE","GRADRATETRY","TRY","PC","A","2018",24.849,
"CHE","GRADRATETRY","TRY","PC","A","2005",,"M"
"CHE","GRADRATETRY","TRY","PC","A","2010",,"M"
"CHE","GRADRATETRY","TRY","PC","A","2011",,"M"
"CHE","GRADRATETRY","TRY","PC","A","2012",,"M"
"CHE","GRADRATETRY","TRY","PC","A","2013",34.479,
"CHE","GRADRATETRY","TRY","PC","A","2014",35.443,
"CHE","GRADRATETRY","TRY","PC","A","2015",34.53,
"CHE","GRADRATETRY","TRY","PC","A","2016",34.039,
"CHE","GRADRATETRY","TRY","PC","A","2017",34.739,
"CHE","GRADRATETRY","TRY","PC","A","2018",35.512,
"TUR","GRADRATETRY","TRY","PC","A","2005",,"M"
